vertex_id,x,y
4JJLCqFAlVbzqwXqrgckGq,-0.17286352813243866,-0.6275527477264404
 Background Music,-0.18533001840114594,-0.74363774061203
5a7IjqB7bGA1TArQcFBDKy,-0.17559924721717834,-0.6297963857650757
4na8bW6oc43oxwage8huso,-0.1763303577899933,-0.727434515953064
7ezPWKIAQvCztMhiHRQPuJ,-0.1782802790403366,-0.5864828824996948
5oH5ijHVrmgwEfUttQ9pjX,-0.1900789588689804,-0.7274619340896606
74hynqEUgqRntXOfiqAkd9,-0.16528640687465668,-0.40879523754119873
1UGngn0XVq6tUD3Q1AT1dy,-0.17650935053825378,-0.6504525542259216
682LbPTgwSkwOQGS16OsW5,-0.14292684197425842,-0.616955578327179
0tgMoWV59lNPjuenr5mqvt,-0.17645928263664246,-0.6092453598976135
0ZaAnSBCIfKNroEhvDWWB5,-0.1256561577320099,-0.6319847702980042
0IV0v2RIhevXsu9G0u82iP,-0.15535572171211243,-0.6212648153305054
4o800k0L50O5mIUB69SPyV,-0.17896324396133423,-0.6907836198806763
3roKW6n6liqSm13bm7a5rv,-0.18459255993366241,-0.7289237976074219
4rBitWwPvC7hgE9IdDNwnr,-0.17390045523643494,-0.6352350115776062
3qdpjZleqYS2oJhGzXDXcz,-0.18693403899669647,-0.7299208045005798
5QcpXwGONi7bKyphLwySs5,-0.16446684300899506,-0.5226927995681763
3oe1cyjc20grx31AiUf8Cf,-0.17554399371147156,-0.6247644424438477
7dqavwTVYCNJVsXXMli1fM,-0.18206211924552917,-0.7245405316352844
44rpvXgWhgUWmLUH12Nu58,-0.15093426406383514,-0.6166025996208191
1RlKqfplkNXkV5ZkFZlo7d,-0.15920817852020264,-0.6202085018157959
2R0jJNaZzXUklvrjpbRS66,-0.17720268666744232,-0.6619321703910828
7e5Ur524NGQaU3sxbJtbxQ,-0.17570476233959198,-0.6178538203239441
0p7ARhvKQORnloX97A0dDO,-0.1895381361246109,-0.7287442088127136
2Rwbl0HB1WfCsJXGYHcdrI,-0.17903077602386475,-0.6006878614425659
41uCYU5P05u5d6Xux7Dv4W,-0.17749543488025665,-0.6666147708892822
0jZxuq04x40gwFCCcg3J31,-0.1695208102464676,-0.6215925216674805
1AAarJ2ZVp2JNvoRY43V41,-0.17874492704868317,-0.6869969367980957
4SIJIe0qLkPFLP8Nedt1Ga,-0.1732708215713501,-0.7031089067459106
56URZGF8ntwKhgSt1fphPs,-0.17458093166351318,-0.6909952163696289
7zCXE5rdGmk2YzsSWuhO8I,-0.17811375856399536,-0.6765273809432983
3OHBNZSVpnXmKBiLkXIXZS,-0.18367668986320496,-0.5914493799209595
1VrMJNhio7bw2kjbQkY8dC,-0.18395237624645233,-0.7248000502586365
2m9dwTEyYuMREZTttiFKmF,-0.17717678844928741,-0.6615177989006042
58lkC4hkOsmtRmUgNUkwGE,-0.1764441281557083,-0.7274032235145569
5kHMqwwwlHCdt24t2e7pEq,-0.16463489830493927,-0.5254908800125122
6k1DasduiT5LjawgYPg3pF,-0.17421890795230865,-0.6331362128257751
3u9BK8XIFDSrzIePbJYvvp,-0.15531620383262634,-0.5920172333717346
0V1vo7jIvwW2QIeuKJFAg4,-0.17756181955337524,-0.667675256729126
72KilUGrpXNCPE0yWjcSmN,-0.19680562615394592,-0.7277773022651672
2rMvml0pdO4mZYPDtIc1JQ,-0.15414422750473022,-0.6246877312660217
4B7DGeTR4HpPko4kivGU9G,-0.17763970792293549,-0.6689159274101257
529OV81Dqr98MG2TwH4hbq,-0.17703039944171906,-0.6591508388519287
3vDKBXhismlvnpXbm9DAdc,-0.1804818958044052,-0.7071685194969177
6WkXlCEHH8wkQ5xGytORl6,-0.1806146502494812,-0.7206917405128479
0kKOC50fPTnqmrYvtJInsT,-0.1641581654548645,-0.5177347660064697
1WYZio6NAhl2ykJs2jBXuO,-0.1768776923418045,-0.6249574422836304
6VpiWp5wBEjHTYWojGEqxY,-0.18002991378307343,-0.7110478281974792
37bWNUTzhM1DvYyOEXY0rC,-0.1769523322582245,-0.6074109077453613
6uWjjaiquXsjuQuks2mZME,-0.2178107649087906,-0.516017735004425
3JsqqR5Wj3EoC2fzdonr21,-0.18756099045276642,-0.7315391898155212
5SXtpIukn53ab55okg7Cg8,-0.18965190649032593,-0.7364587187767029
1qjktDcnb02OCdkbHMxXEp,-0.18264341354370117,-0.6087194681167603
6BWqIj8dGln3EDBRnBNXuW,-0.1785949021577835,-0.7257784605026245
5tY0sWgi6v0UEibwYjfWlL,-0.17570647597312927,-0.6337050199508667
6uZqFdxRsSXgswqtKKBYK7,-0.20315954089164734,-0.7149770259857178
15IzXs0Oln8qBHIJUYLSzM,-0.14038680493831635,-0.626515805721283
2VFBT8eSZZ6a9AQ2Kk3qTt,-0.17876967787742615,-0.6318623423576355
1YwWv6HCCdojIzr9lcrJX4,-0.17803165316581726,-0.7266101241111755
2jhrGvTh7nalekgaCk4gTP,-0.183338463306427,-0.7339409589767456
4HtGSunDdFD5QgCqI4zP29,-0.1796015202999115,-0.7221531867980957
4xYu3ms4RRPwYjoZV7qEPl,-0.15894533693790436,-0.5202114582061768
4aruMMVCx74sNI9zgHG6uO,-0.1730133593082428,-0.7150290012359619
0mEtQh163dmE6NjbaPqf6o,-0.1758756935596466,-0.6381239891052246
3N2PrGvzDbb1Fn80lv1gj1,-0.17931009829044342,-0.6970540881156921
0i0nl7E66abgbDD0JNHTMS,0.34086722135543823,0.06852444261312485
 Argentine Indie,0.23163935542106628,0.026994165033102036
2pno4QrtwPoV6oIp1C2ee8,0.3574729859828949,0.07524938881397247
0rY2pBhSRBAVz32yZ87p03,0.30689719319343567,0.054478686302900314
1dIhVyOcHzgL07hSO7IOex,0.2492235153913498,0.02896326407790184
5q1Y7bQtwv6qod5pStvSQz,0.3485410511493683,0.08327619731426239
4Dlm1fAdMWE22eRenlR1ID,0.31336352229118347,0.05706322565674782
1GRsPg4XtmHZa5DC0v9PMi,0.36262133717536926,0.06815610080957413
3PCEWh4cgGYQAafaR095tx,0.2554822564125061,0.05483052879571915
7Kf1YUY5r3g11DZrIUTj2Y,0.3128232955932617,0.05684605613350868
3hXiJ5n6IIqTqWAtZSg90P,0.37393176555633545,0.06478308141231537
0IjJ1dAp6J9uPo2lKfYyyk,0.2713954448699951,0.03730124235153198
6CPUsyN2l4zOIMd3KEzufy,0.29890376329421997,0.05130825191736221
0EeQTuwvEz6WFkgrDkj8Kx,0.3552003800868988,0.08416558802127838
2P44uihCvrvH5M8KjeZLkE,0.3254290521144867,0.06196487322449684
6cZwrwEpCIfztUsRqoqo0T,0.3590138852596283,0.07568219304084778
02L1ILcsyr6x3pJWoF5Muz,0.25912579894065857,0.044810835272073746
3lxRZoAc3umyWx6ltpB1aM,0.36587387323379517,0.0761299580335617
