Genre,Number of Tracks
 21st Century Classical,496
 432Hz,102
 8-Bit,106
 A Cappella,336
 Aarhus Indie,119
 Aberdeen Indie,175
 Abstract,228
 Abstract Beats,253
 Abstract Hip Hop,343
 Abstractro,197
 Accordion,266
 Accordéon,187
 Acid House,199
 Acid Jazz,187
 Acid Rock,110
 Acid Techno,300
 Acid Trance,130
 Acousmatic,139
 Acoustic Blues,134
 Acoustic Chill,100
 Acoustic Pop,401
 Acoustic Punk,213
 Action Rock,244
 Adelaide Indie,240
 Adoración,288
 Adoração,460
 Adult Standards,689
 Adventista,280
 Afghan Pop,192
 Afghan Traditional,114
 African Electronic,143
 African Experimental,73
 African Gospel,328
 African Metal,110
 African Percussion,196
 African Reggae,163
 African Rock,356
 Afrikaans,367
 Afrikaans Folk,94
 Afrikaans Gospel,99
 Afro Dancehall,353
 Afro House,417
 Afro Psych,96
 Afro-Funk,110
 Afrobeat,296
 Afrobeat Brasileiro,123
 Afrofuturism,186
 Afrofuturismo Brasileiro,151
 Afropop,596
 Aggrotech,350
 Aghani Lil-Atfal,71
 Alabama Indie,129
 Alabama Metal,114
 Alabama Rap,103
 Alaska Indie,152
 Albany NY Indie,187
 Alberta Country,205
 Alberta Hip Hop,141
 Album Rock,668
 Albuquerque Indie,162
 Alphorn,74
 Alpine Yodeling,178
 Alt-Idol,158
 Alternative Americana,125
 Alternative Country,570
 Alternative Dance,450
 Alternative Emo,405
 Alternative Hardcore,150
 Alternative Hip Hop,565
 Alternative Metal,686
 Alternative Metalcore,202
 Alternative Pop,295
 Alternative Pop Rock,239
 Alternative R&B,704
 Alternative Rock,688
 Alternative Roots Rock,269
 Amapiano,141
 Ambeat,210
 Ambient,373
 Ambient Black Metal,150
 Ambient Dub Techno,257
 Ambient Folk,101
 Ambient Fusion,252
 Ambient House,140
 Ambient Industrial,136
 Ambient Psychill,319
 Ambient Techno,180
 Ambient Worship,98
 American 21st Century Classical,238
 American Choir,255
 American Contemporary Classical,285
 American Folk Revival,195
 American Metalcore,203
 American Modern Classical,301
 American Post-Rock,368
 American Primitive,119
 American Romanticism,125
 American Shoegaze,258
 Amharic Pop,183
 Anadolu Rock,115
 Anarcho-Punk,209
 Ancient Mediterranean,51
 Andalusian Classical,102
 Andean,402
 Andean Flute,91
 Anglican Liturgy,159
 Animal Singing,27
 Anime,411
 Anime Latino,99
 Anime Rock,275
 Anime Score,301
 Ann Arbor Indie,140
 Anthem,113
 Anthem Emo,508
 Anthem Worship,808
 Anti-Folk,329
 Antideutsche,122
 Antilliaanse Folklore,70
 Antilliaanse Rap,90
 Antiviral Pop,338
 Apostolic Worship,144
 Appalachian Folk,299
 Appenzeller Folk,75
 Arab Alternative,205
 Arab Electronic,122
 Arab Folk,247
 Arab Groove,90
 Arab Metal,171
 Arab Pop,399
 Arab Trap,107
 Arabesk,389
 Arabic Hip Hop,196
 Arabic Jazz,112
 Argentine Alternative Rock,201
 Argentine Ambient,110
 Argentine Hardcore,98
 Argentine Heavy Metal,113
 Argentine Hip Hop,181
 Argentine Indie,489
 Argentine Indie Rock,111
 Argentine Jazz,115
 Argentine Metal,261
 Argentine Punk,188
 Argentine Reggae,151
 Argentine Rock,451
 Argentine Telepop,146
 Arkansas Country,149
 Arkansas Indie,104
 Art Pop,782
 Art Punk,136
 Art Rock,608
 Asbury Park Indie,175
 Asheville Indie,198
 Assyrian Pop,100
 Athens Indie,240
 Atlanta Indie,269
 Atmosphere,113
 Atmospheric Black Metal,298
 Atmospheric DnB,100
 Atmospheric Doom,254
 Atmospheric Post-Metal,143
 Atmospheric Post-Rock,233
 Atmospheric Sludge,176
 Auckland Indie,159
 Audiophile Vocal,105
 Aussie Drill,89
 Aussie Emo,107
 Aussietronica,173
 Austin Americana,128
 Austin Hip Hop,109
 Austin Rock,125
 Austindie,350
 Austro-German Modernism,104
 Austropop,294
 Autoharp,81
 Autonomous Black Metal,231
 Avant-Garde,313
 Avant-Garde Black Metal,193
 Avant-Garde Jazz,344
 Avant-Garde Metal,347
 Avant-Rock,122
 Axé,365
 Azeri Pop,115
 Azeri Traditional,135
 Azonto,275
 Azontobeats,584
 BC Underground Hip Hop,323
 Bachata,178
 Background Music,757
 Backing Track,141
 Bagpipe,242
 Bahamian Folk,69
 Bahamian Pop,94
 Bahá'í,141
 Baile Pop,492
 Baithak Gana,68
 Baião,96
 Baja Indie,102
 Bajki,53
 Bakersfield Sound,118
 Balafon,86
 Balalaika,91
 Balearic,330
 Balfolk,175
